location_id,infection_rate_factor,infection_rate,number_of_people_infected_t_0,min_age,max_age
143158,0.873904964,-1,0,25,65
143159,0.873904964,-1,0,25,65
143160,0.98115211,-1,0,25,65
143161,0.98115211,-1,0,25,65
143162,0.972391824,-1,0,25,65
143163,0.972391824,-1,0,25,65
143164,0.789487656,-1,0,25,65
143165,0.789487656,-1,0,25,65
143166,0.917706398,-1,0,25,65
143167,0.917706398,-1,0,25,65
143168,0.912397133,-1,0,25,65
143169,0.912397133,-1,0,25,65
143170,0.66418901,-1,0,25,65
143171,0.66418901,-1,0,25,65
143172,0.895938413,-1,0,25,65
143173,0.895938413,-1,0,25,65
143174,-1,0.000964922,0,25,65
143175,-1,0.000964922,0,25,65
