Time(d),LocationType,FractionOpen,FractionActivities,AlternativeLocation,ReportAsLocation
10.0,Kindergarten,0.0,0.0,Accommodation,KindergartenToHome
10.0,PrimarySchool,0.0,0.0,Accommodation,PrimarySchoolToHome
10.0,SecondarySchool,0.0,0.0,Accommodation,SecondarySchooToHome
10.0,College,0.0,0.0,Accommodation,CollegeToHome
10.0,University,0.0,0.0,Accommodation,UniversityToHome
40.0,Kindergarten,1.0,1.0,Kindergarten,Kindergarten
40.0,PrimarySchool,1.0,1.0,PrimarySchool,PrimarySchool
40.0,SecondarySchool,1.0,1.0,SecondarySchool,SecondarySchool
40.0,College,1.0,1.0,College,College
40.0,University,1.0,1.0,University,University
